kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,29040.0,295.0,321.0,17.0,51.0,87.0,2790.0,27698.092999999997,30037.861000000008,0.0,0.9190031152647975
HEAVY,140554.0,1915.0,978.0,27.0,233.0,186.0,4967.0,204000.37400000007,158051.688,0.0,1.9580777096114519
ARCHER,377363.0,10544.0,3159.0,10.0,55.0,43.0,1448.0,294451.81199999986,219130.019,0.0,3.337765115542893
MEDIC,20355.0,244.0,163.0,5.0,24.0,35.0,935.0,11707.954,19342.65,11700.0,1.4969325153374233
NINJA,42322.0,772.0,1079.0,5.0,139.0,17.0,406.0,65693.53300000001,27026.756999999994,0.0,0.7154772937905468
NECRO,15783.0,234.0,141.0,3.0,21.0,13.0,243.0,20592.548000000003,18515.91,268.0,1.6595744680851063
CHEMIST,3581.0,63.0,37.0,2.0,5.0,8.0,183.0,3309.8309999999997,2929.7480000000005,0.0,1.7027027027027026
PYRO,11839.0,213.0,94.0,0.0,35.0,1.0,48.0,9183.463,7265.056000000001,0.0,2.265957446808511
DWARF,606.0,0.0,4.0,0.0,0.0,0.0,0.0,506.971,297.56000000000006,0.0,0.0
ASSASSIN,3638.0,102.0,82.0,0.0,20.0,5.0,29.0,3154.3909999999996,1924.89,0.0,1.2439024390243902
MAGE,1718.0,23.0,19.0,0.0,0.0,2.0,63.0,1658.056,1144.837,0.0,1.2105263157894737
ELF,1226.0,12.0,16.0,0.0,0.0,0.0,0.0,762.598,919.249,0.0,0.75
ENGINEER,1266.0,16.0,10.0,3.0,2.0,8.0,88.0,1229.9170000000001,872.6329999999999,0.0,1.6
SCOUT,1573.0,15.0,36.0,2.0,3.0,9.0,88.0,960.0240000000001,1315.914,0.0,0.4166666666666667
